Component	Points possible	Description
part_b.cpp	0.25	Contains a correctly written main function with appropriate return type and return value
part_b.cpp	0.25	"Appropriate comment at beginning of file provides student name, course number, date, and brief description of program"
part_b.cpp	0.25	git log contains an initial version of file that contains a correctly written minimal C++ program
part_b.cpp	0.25	git log contains multiple versions of this file with descriptive log entries that were committed as the file was developed
part_b.cpp	0.25	Contains no superfluous code
part_b.cpp	0.25	Code is well-formatted
part_b.cpp	0.25	Imports iostream library
part_b.cpp	0.25	"Uses 'using' syntax to make cin, cout, and endl available from std namespace"
part_b.cpp	1	Defines the required variables using the required names and types using {} notation
part_b.cpp	1	Uses cout to present user with requisite prompts at the appropriate times
part_b.cpp	2	"Uses a while loop and cin to read a char, and int, a char, and an int from the user"
part_b.cpp	3	Defines required function with correct signature
part_b.cpp	3	"Uses for loops, string +=, and return to implement required function"
part_b.cpp	1	Uses cout to present user with results in required format
