Component	Points possible	Description
part_c.cpp	0.25	Contains a correctly written main function with appropriate return type and return value
part_c.cpp	0.25	"Appropriate comment at beginning of file provides student name, course number, date, and brief description of program"
part_c.cpp	0.25	git log contains an initial version of file that contains a correctly written minimal C++ program
part_c.cpp	0.25	git log contains multiple versions of this file with descriptive log entries that were committed as the file was developed
part_c.cpp	0.25	Contains no superfluous code
part_c.cpp	0.25	Code is well-formatted
part_c.cpp	0.25	Imports iostream library
part_c.cpp	0.25	"Uses 'using' syntax to make cin, cout, endl, and vector available from std namespace"
part_c.cpp	1	Uses cout to present user with requisite prompts at the appropriate times
part_c.cpp	3	Uses a while loop and cin to read two integers at a time from the user
part_c.cpp	3	"Uses if, else if, and else to determine which number is smaller or equal"
part_c.cpp	3	Uses for-each loop and if statements to identify largest and smallest numbers
part_c.cpp	1	Uses cout to present user with results in required format
